Side|OrderID|Company|Type|Timestamp|Price|Quantity
S|140|ADORWELD|EQ|06:50:27|17.95|164
B|141|ADORWELD|EQ|06:50:28|17.95|454
S|142|ADORWELD|EQ|06:50:29|19.95|211
S|143|ADORWELD|EQ|06:50:30|19.95|247
B|144|ADORWELD|EQ|06:50:31|21.95|131
S|145|ADORWELD|EQ|06:50:32|18.70|334
B|146|ADORWELD|EQ|06:50:33|19.20|470
S|147|ADORWELD|EQ|06:50:34|20.95|231
S|148|ADORWELD|EQ|06:50:35|16.45|485
B|149|ADORWELD|EQ|06:50:36|19.45|299
S|150|ADORWELD|EQ|06:50:37|21.95|340
B|151|ADORWELD|EQ|06:50:38|16.95|443
S|152|ADORWELD|EQ|06:50:39|17.45|123
S|153|ADORWELD|EQ|06:50:40|18.95|402
S|154|ADORWELD|EQ|06:50:41|17.20|192
B|155|ADORWELD|EQ|06:50:42|15.95|26
S|156|ADORWELD|EQ|06:50:43|16.45|32
B|157|ADORWELD|EQ|06:50:44|16.20|486
B|158|ADORWELD|EQ|06:50:45|15.70|273
B|159|ADORWELD|EQ|06:50:46|19.20|122
B|160|ADORWELD|EQ|06:50:47|18.95|370
B|161|ADORWELD|EQ|06:50:48|17.70|19
B|162|ADORWELD|EQ|06:50:49|19.45|30
B|163|ADORWELD|EQ|06:50:50|19.45|278
S|164|ADORWELD|EQ|06:50:51|17.95|406
B|165|ADORWELD|EQ|06:50:52|16.95|491
B|166|ADORWELD|EQ|06:50:53|22.45|496
S|167|ADORWELD|EQ|06:50:54|22.45|492
S|168|ADORWELD|EQ|06:50:55|15.70|136
B|169|ADORWELD|EQ|06:50:56|20.45|192
S|170|ADORWELD|EQ|06:50:57|15.45|460
B|171|ADORWELD|EQ|06:50:58|20.20|250
S|172|ADORWELD|EQ|06:50:59|20.45|367
B|173|ADORWELD|EQ|06:51:00|19.45|227
S|174|ADORWELD|EQ|06:51:01|16.20|18
S|175|ADORWELD|EQ|06:51:02|15.70|428
B|176|ADORWELD|EQ|06:51:03|19.45|437
S|177|ADORWELD|EQ|06:51:04|16.70|218
B|178|ADORWELD|EQ|06:51:05|15.20|151
B|179|ADORWELD|EQ|06:51:06|19.70|274
S|180|ADORWELD|EQ|06:51:07|19.70|35
B|181|ADORWELD|EQ|06:51:08|19.70|477
B|182|ADORWELD|EQ|06:51:09|21.95|339
B|183|ADORWELD|EQ|06:51:10|17.20|446
B|184|ADORWELD|EQ|06:51:11|16.45|52
S|185|ADORWELD|EQ|06:51:12|20.20|144
S|186|ADORWELD|EQ|06:51:13|21.20|303
B|187|ADORWELD|EQ|06:51:14|19.20|210
B|188|ADORWELD|EQ|06:51:15|20.20|52
B|189|ADORWELD|EQ|06:51:16|17.70|251
B|190|ADORWELD|EQ|06:51:17|20.95|131
S|191|ADORWELD|EQ|06:51:18|18.95|209
S|192|ADORWELD|EQ|06:51:19|19.70|209
B|193|ADORWELD|EQ|06:51:20|21.95|159
S|194|ADORWELD|EQ|06:51:21|18.95|336
B|195|ADORWELD|EQ|06:51:22|20.70|146
B|196|ADORWELD|EQ|06:51:23|21.70|283
S|197|ADORWELD|EQ|06:51:24|19.70|241
S|198|ADORWELD|EQ|06:51:25|19.95|11
S|199|ADORWELD|EQ|06:51:26|17.95|81
S|200|ADORWELD|EQ|06:51:27|22.20|494
S|201|ADORWELD|EQ|06:51:28|19.95|61
S|202|ADORWELD|EQ|06:51:29|19.95|179
S|203|ADORWELD|EQ|06:51:30|21.95|419
S|204|ADORWELD|EQ|06:51:31|18.70|6
B|205|ADORWELD|EQ|06:51:32|15.20|458
B|206|ADORWELD|EQ|06:51:33|20.95|54
B|207|ADORWELD|EQ|06:51:34|21.95|434
S|208|ADORWELD|EQ|06:51:35|20.95|463
S|209|ADORWELD|EQ|06:51:36|20.45|144
S|210|ADORWELD|EQ|06:51:37|15.45|454
S|211|ADORWELD|EQ|06:51:38|17.95|224
B|212|ADORWELD|EQ|06:51:39|17.70|485
B|213|ADORWELD|EQ|06:51:40|15.20|225
S|214|ADORWELD|EQ|06:51:41|16.95|239
B|215|ADORWELD|EQ|06:51:42|17.95|432
S|216|ADORWELD|EQ|06:51:43|15.70|445
B|217|ADORWELD|EQ|06:51:44|16.70|434
B|218|ADORWELD|EQ|06:51:45|20.45|108
B|219|ADORWELD|EQ|06:51:46|19.45|221
S|220|ADORWELD|EQ|06:51:47|19.70|173
B|221|ADORWELD|EQ|06:51:48|15.70|444
S|222|ADORWELD|EQ|06:51:49|22.20|96
S|223|ADORWELD|EQ|06:51:50|15.95|337
S|224|ADORWELD|EQ|06:51:51|22.20|176
B|225|ADORWELD|EQ|06:51:52|22.20|97
S|226|ADORWELD|EQ|06:51:53|19.45|449
B|227|ADORWELD|EQ|06:51:54|22.45|367
S|228|ADORWELD|EQ|06:51:55|16.70|239
B|229|ADORWELD|EQ|06:51:56|22.20|426
B|230|ADORWELD|EQ|06:51:57|20.95|66
S|231|ADORWELD|EQ|06:51:58|15.95|448
S|232|ADORWELD|EQ|06:51:59|21.95|337
S|233|ADORWELD|EQ|06:52:00|16.95|262
B|234|ADORWELD|EQ|06:52:01|15.45|291
B|235|ADORWELD|EQ|06:52:02|20.95|131
B|236|ADORWELD|EQ|06:52:03|22.45|389
S|237|ADORWELD|EQ|06:52:04|21.95|320
S|238|ADORWELD|EQ|06:52:05|20.20|7
B|239|ADORWELD|EQ|06:52:06|17.95|467
B|240|ADORWELD|EQ|06:52:07|18.20|492
S|241|ADORWELD|EQ|06:52:08|19.45|35
S|242|ADORWELD|EQ|06:52:09|20.95|24
S|243|ADORWELD|EQ|06:52:10|19.45|443
S|244|ADORWELD|EQ|06:52:11|16.95|164
S|245|ADORWELD|EQ|06:52:12|18.70|130
S|246|ADORWELD|EQ|06:52:13|21.95|419
S|247|ADORWELD|EQ|06:52:14|19.95|328
S|248|ADORWELD|EQ|06:52:15|17.45|290
S|249|ADORWELD|EQ|06:52:16|21.95|61
B|250|ADORWELD|EQ|06:52:17|20.70|65
B|251|ADORWELD|EQ|06:52:18|18.45|122
B|252|ADORWELD|EQ|06:52:19|21.20|28
B|253|ADORWELD|EQ|06:52:20|15.20|377
B|254|ADORWELD|EQ|06:52:21|20.20|7
S|255|ADORWELD|EQ|06:52:22|15.20|91
S|256|ADORWELD|EQ|06:52:23|18.45|79
B|257|ADORWELD|EQ|06:52:24|20.95|270
S|258|ADORWELD|EQ|06:52:25|20.95|31
B|259|ADORWELD|EQ|06:52:26|15.95|248
B|260|ADORWELD|EQ|06:52:27|16.95|402
B|261|ADORWELD|EQ|06:52:28|16.20|356
S|262|ADORWELD|EQ|06:52:29|22.20|112
S|263|ADORWELD|EQ|06:52:30|16.95|302
S|264|ADORWELD|EQ|06:52:31|17.20|393
B|265|ADORWELD|EQ|06:52:32|15.95|25
B|266|ADORWELD|EQ|06:52:33|20.45|478
S|267|ADORWELD|EQ|06:52:34|19.45|344
S|268|ADORWELD|EQ|06:52:35|15.70|237
B|269|ADORWELD|EQ|06:52:36|19.95|73
S|270|ADORWELD|EQ|06:52:37|21.70|112
B|271|ADORWELD|EQ|06:52:38|21.95|347
S|272|ADORWELD|EQ|06:52:39|15.70|367
S|273|ADORWELD|EQ|06:52:40|19.70|344
S|274|ADORWELD|EQ|06:52:41|19.95|72
S|275|ADORWELD|EQ|06:52:42|19.45|68
S|276|ADORWELD|EQ|06:52:43|22.20|459
B|277|ADORWELD|EQ|06:52:44|21.95|369
B|278|ADORWELD|EQ|06:52:45|19.45|123
B|279|ADORWELD|EQ|06:52:46|16.95|12
B|280|ADORWELD|EQ|06:52:47|19.20|448
B|281|ADORWELD|EQ|06:52:48|16.95|348
B|282|ADORWELD|EQ|06:52:49|16.70|332
S|283|ADORWELD|EQ|06:52:50|21.45|281
B|284|ADORWELD|EQ|06:52:51|19.45|422
S|285|ADORWELD|EQ|06:52:52|17.95|261
B|286|ADORWELD|EQ|06:52:53|20.45|390
B|287|ADORWELD|EQ|06:52:54|15.45|89
B|288|ADORWELD|EQ|06:52:55|16.20|129
B|289|ADORWELD|EQ|06:52:56|21.20|38
S|290|ADORWELD|EQ|06:52:57|19.45|417
B|291|ADORWELD|EQ|06:52:58|15.20|314
B|292|ADORWELD|EQ|06:52:59|18.45|140
B|293|ADORWELD|EQ|06:53:00|15.70|7
S|294|ADORWELD|EQ|06:53:01|16.20|364
S|295|ADORWELD|EQ|06:53:02|20.20|307
B|296|ADORWELD|EQ|06:53:03|20.70|361
S|297|ADORWELD|EQ|06:53:04|21.45|2
S|298|ADORWELD|EQ|06:53:05|19.20|427
B|299|ADORWELD|EQ|06:53:06|18.20|223
B|300|ADORWELD|EQ|06:53:07|15.45|110
S|301|ADORWELD|EQ|06:53:08|17.45|53
S|302|ADORWELD|EQ|06:53:09|16.45|248
S|303|ADORWELD|EQ|06:53:10|18.20|211
S|304|ADORWELD|EQ|06:53:11|17.95|487
S|305|ADORWELD|EQ|06:53:12|18.45|297
S|306|ADORWELD|EQ|06:53:13|18.45|412
S|307|ADORWELD|EQ|06:53:14|21.45|437
S|308|ADORWELD|EQ|06:53:15|18.95|446
S|309|ADORWELD|EQ|06:53:16|18.95|60
B|310|ADORWELD|EQ|06:53:17|21.20|291
B|311|ADORWELD|EQ|06:53:18|17.20|142
B|312|ADORWELD|EQ|06:53:19|17.20|257
B|313|ADORWELD|EQ|06:53:20|19.70|171
B|314|ADORWELD|EQ|06:53:21|21.45|164
S|315|ADORWELD|EQ|06:53:22|16.95|157
B|316|ADORWELD|EQ|06:53:23|21.95|411
B|317|ADORWELD|EQ|06:53:24|21.70|18
S|318|ADORWELD|EQ|06:53:25|17.70|215
B|319|ADORWELD|EQ|06:53:26|20.70|482
B|320|ADORWELD|EQ|06:53:27|21.70|356
B|321|ADORWELD|EQ|06:53:28|17.45|106
B|322|ADORWELD|EQ|06:53:29|19.45|45
S|323|ADORWELD|EQ|06:53:30|21.20|163
B|324|ADORWELD|EQ|06:53:31|19.95|320
S|325|ADORWELD|EQ|06:53:32|18.20|379
S|326|ADORWELD|EQ|06:53:33|21.20|147
B|327|ADORWELD|EQ|06:53:34|19.45|335
B|328|ADORWELD|EQ|06:53:35|17.45|445
S|329|ADORWELD|EQ|06:53:36|20.95|107
B|330|ADORWELD|EQ|06:53:37|19.95|395
B|331|ADORWELD|EQ|06:53:38|21.70|214
B|332|ADORWELD|EQ|06:53:39|21.45|173
B|333|ADORWELD|EQ|06:53:40|18.45|167
B|334|ADORWELD|EQ|06:53:41|20.95|258
B|335|ADORWELD|EQ|06:53:42|16.70|433
B|336|ADORWELD|EQ|06:53:43|22.20|339
B|337|ADORWELD|EQ|06:53:44|18.20|389
B|338|ADORWELD|EQ|06:53:45|16.45|18
B|339|ADORWELD|EQ|06:53:46|20.70|23
B|340|ADORWELD|EQ|06:53:47|17.70|464
B|341|ADORWELD|EQ|06:53:48|21.20|131
B|342|ADORWELD|EQ|06:53:49|21.45|16
S|343|ADORWELD|EQ|06:53:50|15.20|81
B|344|ADORWELD|EQ|06:53:51|19.95|144
B|345|ADORWELD|EQ|06:53:52|19.70|73
S|346|ADORWELD|EQ|06:53:53|21.70|23
S|347|ADORWELD|EQ|06:53:54|17.45|258
B|348|ADORWELD|EQ|06:53:55|19.45|293
B|349|ADORWELD|EQ|06:53:56|20.20|196
B|350|ADORWELD|EQ|06:53:57|20.20|446
B|351|ADORWELD|EQ|06:53:58|21.45|252
S|352|ADORWELD|EQ|06:53:59|21.20|219
B|353|ADORWELD|EQ|06:54:00|17.70|391
S|354|ADORWELD|EQ|06:54:01|15.20|283
S|355|ADORWELD|EQ|06:54:02|17.95|361
B|356|ADORWELD|EQ|06:54:03|16.45|209
S|357|ADORWELD|EQ|06:54:04|21.95|269
S|358|ADORWELD|EQ|06:54:05|21.95|78
B|359|ADORWELD|EQ|06:54:06|16.70|228
B|360|ADORWELD|EQ|06:54:07|17.45|30
S|361|ADORWELD|EQ|06:54:08|16.20|26
B|362|ADORWELD|EQ|06:54:09|15.45|132
B|363|ADORWELD|EQ|06:54:10|21.70|22
B|364|ADORWELD|EQ|06:54:11|15.45|214
S|365|ADORWELD|EQ|06:54:12|15.45|318
S|366|ADORWELD|EQ|06:54:13|21.70|413
S|367|ADORWELD|EQ|06:54:14|20.45|190
B|368|ADORWELD|EQ|06:54:15|16.45|389
B|369|ADORWELD|EQ|06:54:16|20.45|27
S|370|ADORWELD|EQ|06:54:17|21.45|126
B|371|ADORWELD|EQ|06:54:18|21.70|151
B|372|ADORWELD|EQ|06:54:19|17.70|434
S|373|ADORWELD|EQ|06:54:20|15.95|140
S|374|ADORWELD|EQ|06:54:21|19.95|53
B|375|ADORWELD|EQ|06:54:22|19.20|317
B|376|ADORWELD|EQ|06:54:23|16.70|3
S|377|ADORWELD|EQ|06:54:24|20.95|486
S|378|ADORWELD|EQ|06:54:25|22.45|23
S|379|ADORWELD|EQ|06:54:26|16.45|54
B|380|ADORWELD|EQ|06:54:27|19.20|331
B|381|ADORWELD|EQ|06:54:28|22.20|299
B|382|ADORWELD|EQ|06:54:29|17.20|210
S|383|ADORWELD|EQ|06:54:30|15.45|485
B|384|ADORWELD|EQ|06:54:31|19.45|164
B|385|ADORWELD|EQ|06:54:32|19.95|233
B|386|ADORWELD|EQ|06:54:33|21.70|199
S|387|ADORWELD|EQ|06:54:34|21.95|124
S|388|ADORWELD|EQ|06:54:35|19.95|276
B|389|ADORWELD|EQ|06:54:36|22.45|231
S|390|ADORWELD|EQ|06:54:37|19.45|69
S|391|ADORWELD|EQ|06:54:38|15.45|319
B|392|ADORWELD|EQ|06:54:39|16.70|359
S|393|ADORWELD|EQ|06:54:40|21.95|172
B|394|ADORWELD|EQ|06:54:41|15.20|280
B|395|ADORWELD|EQ|06:54:42|18.95|99
S|396|ADORWELD|EQ|06:54:43|22.20|448
B|397|ADORWELD|EQ|06:54:44|16.45|237
S|398|ADORWELD|EQ|06:54:45|21.95|157
S|399|ADORWELD|EQ|06:54:46|20.95|298
S|400|ADORWELD|EQ|06:54:47|18.70|188
B|401|ADORWELD|EQ|06:54:48|21.70|451
B|402|ADORWELD|EQ|06:54:49|17.45|89
B|403|ADORWELD|EQ|06:54:50|15.70|37
S|404|ADORWELD|EQ|06:54:51|17.70|137
S|405|ADORWELD|EQ|06:54:52|20.70|294
B|406|ADORWELD|EQ|06:54:53|22.45|472
S|407|ADORWELD|EQ|06:54:54|21.45|377
S|408|ADORWELD|EQ|06:54:55|21.45|346
B|409|ADORWELD|EQ|06:54:56|17.95|401
S|410|ADORWELD|EQ|06:54:57|20.20|95
S|411|ADORWELD|EQ|06:54:58|18.70|464
B|412|ADORWELD|EQ|06:54:59|20.45|453
B|413|ADORWELD|EQ|06:55:00|16.45|475
B|414|ADORWELD|EQ|06:55:01|15.70|16
S|415|ADORWELD|EQ|06:55:02|17.20|90
B|416|ADORWELD|EQ|06:55:03|16.20|429
B|417|ADORWELD|EQ|06:55:04|17.70|437
S|418|ADORWELD|EQ|06:55:05|15.20|384
S|419|ADORWELD|EQ|06:55:06|17.20|45
S|420|ADORWELD|EQ|06:55:07|21.45|355
B|421|ADORWELD|EQ|06:55:08|15.70|382
B|422|ADORWELD|EQ|06:55:09|22.20|295
S|423|ADORWELD|EQ|06:55:10|18.45|102
B|424|ADORWELD|EQ|06:55:11|16.70|474
S|425|ADORWELD|EQ|06:55:12|18.95|394
S|426|ADORWELD|EQ|06:55:13|17.45|461
S|427|ADORWELD|EQ|06:55:14|21.20|121
B|428|ADORWELD|EQ|06:55:15|21.95|463
S|429|ADORWELD|EQ|06:55:16|18.95|143
S|430|ADORWELD|EQ|06:55:17|21.45|310
B|431|ADORWELD|EQ|06:55:18|20.20|152
S|432|ADORWELD|EQ|06:55:19|19.45|471
B|433|ADORWELD|EQ|06:55:20|19.95|206
B|434|ADORWELD|EQ|06:55:21|21.95|43
S|435|ADORWELD|EQ|06:55:22|15.20|468
S|436|ADORWELD|EQ|06:55:23|21.70|128
S|437|ADORWELD|EQ|06:55:24|15.20|344
S|438|ADORWELD|EQ|06:55:25|15.45|142
S|439|ADORWELD|EQ|06:55:26|18.70|69
S|440|ADORWELD|EQ|06:55:27|16.70|27
B|441|ADORWELD|EQ|06:55:28|18.45|257
B|442|ADORWELD|EQ|06:55:29|15.70|426
B|443|ADORWELD|EQ|06:55:30|21.70|487
B|444|ADORWELD|EQ|06:55:31|20.70|266
S|445|ADORWELD|EQ|06:55:32|20.45|426
B|446|ADORWELD|EQ|06:55:33|16.95|112
B|447|ADORWELD|EQ|06:55:34|21.20|105
S|448|ADORWELD|EQ|06:55:35|18.20|136
S|449|ADORWELD|EQ|06:55:36|21.45|292
S|450|ADORWELD|EQ|06:55:37|19.45|119
S|451|ADORWELD|EQ|06:55:38|18.45|322
S|452|ADORWELD|EQ|06:55:39|17.45|134
S|453|ADORWELD|EQ|06:55:40|17.20|351
S|454|ADORWELD|EQ|06:55:41|15.95|425
B|455|ADORWELD|EQ|06:55:42|15.20|126
B|456|ADORWELD|EQ|06:55:43|16.95|255
B|457|ADORWELD|EQ|06:55:44|17.70|69
S|458|ADORWELD|EQ|06:55:45|19.95|244
B|459|ADORWELD|EQ|06:55:46|15.45|389
B|460|ADORWELD|EQ|06:55:47|21.20|498
S|461|ADORWELD|EQ|06:55:48|15.20|382
S|462|ADORWELD|EQ|06:55:49|19.45|43
S|463|ADORWELD|EQ|06:55:50|17.45|303
S|464|ADORWELD|EQ|06:55:51|17.45|17
B|465|ADORWELD|EQ|06:55:52|18.95|77
B|466|ADORWELD|EQ|06:55:53|19.95|304
S|467|ADORWELD|EQ|06:55:54|19.20|177
B|468|ADORWELD|EQ|06:55:55|16.95|38
B|469|ADORWELD|EQ|06:55:56|20.95|382
S|470|ADORWELD|EQ|06:55:57|15.70|276
B|471|ADORWELD|EQ|06:55:58|18.20|246
B|472|ADORWELD|EQ|06:55:59|18.20|253
S|473|ADORWELD|EQ|06:56:00|20.20|74
S|474|ADORWELD|EQ|06:56:01|19.70|344
S|475|ADORWELD|EQ|06:56:02|18.20|179
S|476|ADORWELD|EQ|06:56:03|15.45|210
S|477|ADORWELD|EQ|06:56:04|18.95|196
B|478|ADORWELD|EQ|06:56:05|15.45|93
S|479|ADORWELD|EQ|06:56:06|17.70|388
B|480|ADORWELD|EQ|06:56:07|22.45|373
B|481|ADORWELD|EQ|06:56:08|18.95|165
B|482|ADORWELD|EQ|06:56:09|16.45|289
B|483|ADORWELD|EQ|06:56:10|16.70|380
S|484|ADORWELD|EQ|06:56:11|18.20|490
S|485|ADORWELD|EQ|06:56:12|16.20|193
S|486|ADORWELD|EQ|06:56:13|16.45|464
B|487|ADORWELD|EQ|06:56:14|20.45|411
S|488|ADORWELD|EQ|06:56:15|15.95|454
B|489|ADORWELD|EQ|06:56:16|16.70|484
B|490|ADORWELD|EQ|06:56:17|19.95|445
B|491|ADORWELD|EQ|06:56:18|19.70|131
S|492|ADORWELD|EQ|06:56:19|16.45|126
B|493|ADORWELD|EQ|06:56:20|16.45|324
S|494|ADORWELD|EQ|06:56:21|15.70|177
S|495|ADORWELD|EQ|06:56:22|15.20|51
S|496|ADORWELD|EQ|06:56:23|20.20|376
S|497|ADORWELD|EQ|06:56:24|15.20|159
S|498|ADORWELD|EQ|06:56:25|19.20|224
B|499|ADORWELD|EQ|06:56:26|16.70|461
S|500|ADORWELD|EQ|06:56:27|18.95|250
S|501|ADORWELD|EQ|06:56:28|19.45|70
B|502|ADORWELD|EQ|06:56:29|18.70|316
S|503|ADORWELD|EQ|06:56:30|20.20|443
S|504|ADORWELD|EQ|06:56:31|19.45|25
B|505|ADORWELD|EQ|06:56:32|19.20|257
S|506|ADORWELD|EQ|06:56:33|16.70|317
B|507|ADORWELD|EQ|06:56:34|18.20|120
S|508|ADORWELD|EQ|06:56:35|17.95|156
S|509|ADORWELD|EQ|06:56:36|21.45|74
B|510|ADORWELD|EQ|06:56:37|18.20|261
B|511|ADORWELD|EQ|06:56:38|21.20|238
S|512|ADORWELD|EQ|06:56:39|17.20|373
S|513|ADORWELD|EQ|06:56:40|16.95|305
S|514|ADORWELD|EQ|06:56:41|18.20|63
S|515|ADORWELD|EQ|06:56:42|20.20|339
S|516|ADORWELD|EQ|06:56:43|20.45|177
